"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","extraFields","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","289","emptyStrings","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","296","nullValues","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","297","put change all fields","chromium","2026-09-05","passed","2026-09-05","","5-put.spec.js","",""
"","304","partial update multiple fields","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","36","Valid login","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","295","partial update totalprice","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","342","emptyBookingDatesObject","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","299","nullValues","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","296","put incomplete data","chromium","2026-09-05","passed","2026-09-05","","5-put.spec.js","",""
"","303","delete nonexistent booking","chromium","2026-09-05","passed","2026-09-05","","6-delete.spec.js","",""
"","266","negativeTotalPrice","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","298","put without auth","chromium","2026-09-05","passed","2026-09-05","","5-put.spec.js","",""
"","296","partial update without auth","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","293","valid booking","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","297","partial update lastname","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","911","booking not found after delete","chromium","2026-09-05","passed","2026-09-05","","6-delete.spec.js","",""
"","284","emptyPassword","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","313","invalidDataTypes","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","324","Get the booking","chromium","2026-09-05","passed","2026-09-05","","3-Get.spec.js","",""
"","383","invalidPassword","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","285","partial update firstname","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","299","invalidDateFormat","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","302","bothEmpty","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","295","partial update bookingdates","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","302","invalidDateLogic","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","296","wrongDataTypes","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","294","partial update additionalneeds","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","383","put valid update","chromium","2026-09-05","passed","2026-09-05","","5-put.spec.js","",""
"","288","missingRequiredFields","chromium","2026-09-05","passed","2026-09-05","","2-createbooking.spec.js","",""
"","297","missingPasswordKey","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","297","missingUsernameKey","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","274","invalidUsername","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","392","emptyUsername","chromium","2026-09-05","passed","2026-09-05","","1-login.spec.js","",""
"","303","partial update depositpaid","chromium","2026-09-05","passed","2026-09-05","","4-partialupdate.spec.js","",""
"","291","delete booking","chromium","2026-09-05","passed","2026-09-05","","6-delete.spec.js","",""
"","301","delete without auth","chromium","2026-09-05","passed","2026-09-05","","6-delete.spec.js","",""
